:START_ID;:END_ID;:TYPE
PT-AI_2011;PT-AI;BELONGS_TO
Software Engineering Research, Management and Applications_2014;Software Engineering Research, Management and Applications;BELONGS_TO
EGC (best of volume)_2011;EGC (best of volume);BELONGS_TO
DAC_2000;DAC;BELONGS_TO
DAC_1988;DAC;BELONGS_TO
DAC_1986;DAC;BELONGS_TO
DAC_1999;DAC;BELONGS_TO
DAC_1982;DAC;BELONGS_TO
DAC_1989;DAC;BELONGS_TO
DAC_2004;DAC;BELONGS_TO
DAC_2009;DAC;BELONGS_TO
DAC_2005;DAC;BELONGS_TO
DAC_2012;DAC;BELONGS_TO
DAC_2024;DAC;BELONGS_TO
DAC_2022;DAC;BELONGS_TO
DAC_1980;DAC;BELONGS_TO
DAC_2020;DAC;BELONGS_TO
DAC_2003;DAC;BELONGS_TO
DAC_1981;DAC;BELONGS_TO
DAC_2019;DAC;BELONGS_TO
DAC_1964;DAC;BELONGS_TO
DAC_1996;DAC;BELONGS_TO
DAC_1994;DAC;BELONGS_TO
DAC_1997;DAC;BELONGS_TO
DAC_2021;DAC;BELONGS_TO
DAC_1977;DAC;BELONGS_TO
DAC_2017;DAC;BELONGS_TO
DAC_1995;DAC;BELONGS_TO
DAC_2025;DAC;BELONGS_TO
DAC_1976;DAC;BELONGS_TO
DAC_2023;DAC;BELONGS_TO
DAC_1985;DAC;BELONGS_TO
DAC_2013;DAC;BELONGS_TO
DAC_1975;DAC;BELONGS_TO
DAC_2008;DAC;BELONGS_TO
DAC_2015;DAC;BELONGS_TO
DAC_2016;DAC;BELONGS_TO
DAC_2006;DAC;BELONGS_TO
DAC_1992;DAC;BELONGS_TO
DAC_1972;DAC;BELONGS_TO
DAC_2011;DAC;BELONGS_TO
DAC_1991;DAC;BELONGS_TO
DAC_2002;DAC;BELONGS_TO
DAC_1974;DAC;BELONGS_TO
DAC_2001;DAC;BELONGS_TO
DAC_2018;DAC;BELONGS_TO
DAC_2010;DAC;BELONGS_TO
DAC_1979;DAC;BELONGS_TO
DAC_1987;DAC;BELONGS_TO
DAC_1993;DAC;BELONGS_TO
DAC_2014;DAC;BELONGS_TO
DAC_1973;DAC;BELONGS_TO
DAC_1990;DAC;BELONGS_TO
DAC_2007;DAC;BELONGS_TO
DAC_1984;DAC;BELONGS_TO
DAC_1978;DAC;BELONGS_TO
DAC_1983;DAC;BELONGS_TO
DAC_1998;DAC;BELONGS_TO
DAC_1967;DAC;BELONGS_TO
DAC_1965;DAC;BELONGS_TO
DAC_1971;DAC;BELONGS_TO
DAC_1969;DAC;BELONGS_TO
DAC_1968;DAC;BELONGS_TO
SLIP@DAC_2018;SLIP@DAC;BELONGS_TO
DAC_1970;DAC;BELONGS_TO
DAC_1966;DAC;BELONGS_TO
PSL_2011;PSL;BELONGS_TO
PSL_2013;PSL;BELONGS_TO
IGARSS_2018;IGARSS;BELONGS_TO
IGARSS_2016;IGARSS;BELONGS_TO
IGARSS_2011;IGARSS;BELONGS_TO
IGARSS_2022;IGARSS;BELONGS_TO
IGARSS_2023;IGARSS;BELONGS_TO
IGARSS (2)_2008;IGARSS (2);BELONGS_TO
IGARSS (4)_2008;IGARSS (4);BELONGS_TO
IGARSS_2021;IGARSS;BELONGS_TO
IGARSS_2007;IGARSS;BELONGS_TO
IGARSS_2012;IGARSS;BELONGS_TO
IGARSS (3)_2009;IGARSS (3);BELONGS_TO
IGARSS_2020;IGARSS;BELONGS_TO
IGARSS_2017;IGARSS;BELONGS_TO
IGARSS_2015;IGARSS;BELONGS_TO
IGARSS_2014;IGARSS;BELONGS_TO
IGARSS_2024;IGARSS;BELONGS_TO
IGARSS (1)_2009;IGARSS (1);BELONGS_TO
IGARSS_2005;IGARSS;BELONGS_TO
IGARSS (3)_2008;IGARSS (3);BELONGS_TO
IGARSS (2)_2009;IGARSS (2);BELONGS_TO
IGARSS_2010;IGARSS;BELONGS_TO
IGARSS_2002;IGARSS;BELONGS_TO
IGARSS_2004;IGARSS;BELONGS_TO
IGARSS_2019;IGARSS;BELONGS_TO
IGARSS_2013;IGARSS;BELONGS_TO
IGARSS_2006;IGARSS;BELONGS_TO
IGARSS (4)_2009;IGARSS (4);BELONGS_TO
IGARSS (1)_2008;IGARSS (1);BELONGS_TO
IGARSS (5)_2008;IGARSS (5);BELONGS_TO
IGARSS_2003;IGARSS;BELONGS_TO
IGARSS (5)_2009;IGARSS (5);BELONGS_TO
